tournament_id,year,team_name,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match
WC-1930,1930,Argentina,6,1.8333333333333333,0.5,1.1666666666666667,1.8333333333333333,0.6666666666666666
WC-1930,1930,Belgium,6,1.6666666666666667,0.5,0.8333333333333334,2.5,1.6666666666666667
WC-1930,1930,Bolivia,0,,,,,
WC-1930,1930,Brazil,0,,,,,
WC-1930,1930,Chile,0,,,,,
WC-1930,1930,France,6,0.6666666666666666,0.16666666666666666,-1.5,1.3333333333333333,2.8333333333333335
WC-1930,1930,Mexico,0,,,,,
WC-1930,1930,Paraguay,3,2.0,0.6666666666666666,1.6666666666666667,3.0,1.3333333333333333
WC-1930,1930,Peru,3,0.0,0.0,-3.6666666666666665,0.3333333333333333,4.0
WC-1930,1930,Romania,4,2.25,0.75,2.0,3.5,1.5
WC-1930,1930,United States,0,,,,,
WC-1930,1930,Uruguay,6,1.3333333333333333,0.3333333333333333,-0.16666666666666666,1.1666666666666667,1.3333333333333333
WC-1930,1930,Yugoslavia,6,1.1666666666666667,0.3333333333333333,0.5,2.5,2.0
WC-1934,1934,Argentina,1,3.0,1.0,1.0,1.0,0.0
WC-1934,1934,Austria,9,2.3333333333333335,0.6666666666666666,1.6666666666666667,3.3333333333333335,1.6666666666666667
WC-1934,1934,Belgium,8,0.625,0.125,-2.25,2.0,4.25
WC-1934,1934,Brazil,0,,,,,
WC-1934,1934,Czechoslovakia,7,2.0,0.5714285714285714,0.8571428571428571,2.2857142857142856,1.4285714285714286
WC-1934,1934,Egypt,2,3.0,1.0,4.5,5.5,1.0
WC-1934,1934,France,7,1.2857142857142858,0.42857142857142855,-0.2857142857142857,2.2857142857142856,2.5714285714285716
WC-1934,1934,Germany,6,2.6666666666666665,0.8333333333333334,3.3333333333333335,4.166666666666667,0.8333333333333334
WC-1934,1934,Hungary,10,1.4,0.4,0.1,2.2,2.1
WC-1934,1934,Italy,4,2.25,0.75,1.5,3.0,1.5
WC-1934,1934,Netherlands,5,1.8,0.6,1.8,4.4,2.6
WC-1934,1934,Romania,4,2.5,0.75,3.25,4.0,0.75
WC-1934,1934,Spain,3,3.0,1.0,4.0,4.333333333333333,0.3333333333333333
WC-1934,1934,Sweden,8,2.375,0.75,1.625,2.875,1.25
WC-1934,1934,Switzerland,7,0.7142857142857143,0.14285714285714285,-1.1428571428571428,1.2857142857142858,2.4285714285714284
WC-1934,1934,United States,1,3.0,1.0,2.0,4.0,2.0
WC-1938,1938,Belgium,9,1.0,0.2222222222222222,-1.0,1.8888888888888888,2.888888888888889
WC-1938,1938,Brazil,0,,,,,
WC-1938,1938,Cuba,1,0.0,0.0,-4.0,0.0,4.0
WC-1938,1938,Czechoslovakia,11,1.5454545454545454,0.45454545454545453,-0.18181818181818182,2.6363636363636362,2.8181818181818183
WC-1938,1938,Indonesia,0,,,,,
WC-1938,1938,France,6,2.1666666666666665,0.6666666666666666,1.1666666666666667,3.0,1.8333333333333333
WC-1938,1938,Germany,10,2.1,0.6,1.3,2.5,1.2
WC-1938,1938,Hungary,7,2.2857142857142856,0.7142857142857143,2.857142857142857,4.285714285714286,1.4285714285714286
WC-1938,1938,Italy,4,2.0,0.5,2.25,3.0,0.75
WC-1938,1938,Netherlands,5,1.4,0.4,1.2,3.0,1.8
WC-1938,1938,Norway,8,1.625,0.5,-0.5,1.75,2.25
WC-1938,1938,Poland,9,1.8888888888888888,0.5555555555555556,1.3333333333333333,2.888888888888889,1.5555555555555556
WC-1938,1938,Romania,5,1.4,0.4,0.2,1.8,1.6
WC-1938,1938,Sweden,7,1.0,0.2857142857142857,0.0,2.4285714285714284,2.4285714285714284
WC-1938,1938,Switzerland,10,1.2,0.3,-0.1,1.8,1.9
WC-1950,1950,Bolivia,2,1.5,0.5,-1.5,1.0,2.5
WC-1950,1950,Brazil,4,1.75,0.5,0.5,2.75,2.25
WC-1950,1950,Chile,4,1.5,0.5,0.0,2.0,2.0
WC-1950,1950,England,7,2.5714285714285716,0.8571428571428571,2.2857142857142856,3.5714285714285716,1.2857142857142858
WC-1950,1950,Italy,3,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.3333333333333333
WC-1950,1950,Mexico,4,3.0,1.0,3.75,4.25,0.5
WC-1950,1950,Paraguay,5,1.0,0.2,-1.0,1.6,2.6
WC-1950,1950,Spain,2,2.0,0.5,2.0,3.5,1.5
WC-1950,1950,Sweden,6,1.6666666666666667,0.5,1.0,3.3333333333333335,2.3333333333333335
WC-1950,1950,Switzerland,6,1.1666666666666667,0.3333333333333333,-0.8333333333333334,2.0,2.8333333333333335
WC-1950,1950,United States,4,1.0,0.25,-1.75,2.0,3.75
WC-1950,1950,Uruguay,5,1.2,0.4,0.4,2.8,2.4
