year,tournament_id,team_name,confederation_code,is_host,matches,wins,losses,draws,goals_for,goals_against,goal_difference,win_rate,goals_for_per_match,goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,performance,stage_reached,stage_score,champion,finalist,semifinalist,reached_knockout
1930,WC-1930,Argentina,CONMEBOL,0,5,4,1,0,18,9,9,0.8,3.6,1.8,0,0,0,6,1.8333333333333333,0.5,1.1666666666666667,final,Final,5,0,1,1,1
1930,WC-1930,Belgium,UEFA,0,2,0,2,0,0,4,-4,0.0,0.0,2.0,0,0,0,6,1.6666666666666667,0.5,0.8333333333333334,group stage,Group stage,1,0,0,0,0
1930,WC-1930,Bolivia,CONMEBOL,0,2,0,2,0,0,8,-8,0.0,0.0,4.0,0,0,0,0,,,,group stage,Group stage,1,0,0,0,0
1930,WC-1930,Brazil,CONMEBOL,0,2,1,1,0,5,2,3,0.5,2.5,1.0,0,0,0,0,,,,group stage,Group stage,1,0,0,0,0
1930,WC-1930,Chile,CONMEBOL,0,3,2,1,0,5,3,2,0.6666666666666666,1.6666666666666667,1.0,0,0,0,0,,,,group stage,Group stage,1,0,0,0,0
1930,WC-1930,France,UEFA,0,3,1,2,0,4,3,1,0.3333333333333333,1.3333333333333333,1.0,0,0,0,6,0.6666666666666666,0.16666666666666666,-1.5,group stage,Group stage,1,0,0,0,0
1930,WC-1930,Mexico,CONCACAF,0,3,0,3,0,4,13,-9,0.0,1.3333333333333333,4.333333333333333,0,0,0,0,,,,group stage,Group stage,1,0,0,0,0
1930,WC-1930,Paraguay,CONMEBOL,0,2,1,1,0,1,3,-2,0.5,0.5,1.5,0,0,0,3,2.0,0.6666666666666666,1.6666666666666667,group stage,Group stage,1,0,0,0,0
1930,WC-1930,Peru,CONMEBOL,0,2,0,2,0,1,4,-3,0.0,0.5,2.0,0,0,0,3,0.0,0.0,-3.6666666666666665,group stage,Group stage,1,0,0,0,0
1930,WC-1930,Romania,UEFA,0,2,1,1,0,3,5,-2,0.5,1.5,2.5,0,0,0,4,2.25,0.75,2.0,group stage,Group stage,1,0,0,0,0
1930,WC-1930,United States,CONCACAF,0,3,2,1,0,7,6,1,0.6666666666666666,2.3333333333333335,2.0,0,0,0,0,,,,semi-finals,Semi-finals/top four,4,0,0,1,1
1930,WC-1930,Uruguay,CONMEBOL,1,4,4,0,0,15,3,12,1.0,3.75,0.75,0,0,0,6,1.3333333333333333,0.3333333333333333,-0.16666666666666666,final,Champion,6,1,1,1,1
1930,WC-1930,Yugoslavia,UEFA,0,3,2,1,0,7,7,0,0.6666666666666666,2.3333333333333335,2.3333333333333335,0,0,0,6,1.1666666666666667,0.3333333333333333,0.5,semi-finals,Semi-finals/top four,4,0,0,1,1
1934,WC-1934,Argentina,CONMEBOL,0,1,0,1,0,2,3,-1,0.0,2.0,3.0,1,5,4,1,3.0,1.0,1.0,round of 16,Round of 16 / second group,2,0,0,0,1
1934,WC-1934,Austria,UEFA,0,4,2,2,0,7,7,0,0.5,1.75,1.75,0,0,0,9,2.3333333333333335,0.6666666666666666,1.6666666666666667,third-place match,Semi-finals/top four,4,0,0,1,1
1934,WC-1934,Belgium,UEFA,0,1,0,1,0,2,5,-3,0.0,2.0,5.0,1,2,0,8,0.625,0.125,-2.25,round of 16,Round of 16 / second group,2,0,0,0,1
1934,WC-1934,Brazil,CONMEBOL,0,1,0,1,0,1,3,-2,0.0,1.0,3.0,1,2,1,0,,,,round of 16,Round of 16 / second group,2,0,0,0,1
1934,WC-1934,Czechoslovakia,UEFA,0,4,3,1,0,9,6,3,0.75,2.25,1.5,0,0,0,7,2.0,0.5714285714285714,0.8571428571428571,final,Final,5,0,1,1,1
1934,WC-1934,Egypt,CAF,0,1,0,1,0,2,4,-2,0.0,2.0,4.0,0,0,0,2,3.0,1.0,4.5,round of 16,Round of 16 / second group,2,0,0,0,1
1934,WC-1934,France,UEFA,0,1,0,1,0,2,3,-1,0.0,2.0,3.0,1,3,1,7,1.2857142857142858,0.42857142857142855,-0.2857142857142857,round of 16,Round of 16 / second group,2,0,0,0,1
1934,WC-1934,Germany,UEFA,0,4,3,1,0,11,8,3,0.75,2.75,2.0,0,0,0,6,2.6666666666666665,0.8333333333333334,3.3333333333333335,third-place match,Semi-finals/top four,4,0,0,1,1
1934,WC-1934,Hungary,UEFA,0,2,1,1,0,5,4,1,0.5,2.5,2.0,0,0,0,10,1.4,0.4,0.1,quarter-finals,Quarter-finals,3,0,0,0,1
1934,WC-1934,Italy,UEFA,1,5,4,0,1,12,3,9,0.8,2.4,0.6,0,0,0,4,2.25,0.75,1.5,final,Champion,6,1,1,1,1
1934,WC-1934,Netherlands,UEFA,0,1,0,1,0,2,3,-1,0.0,2.0,3.0,0,0,0,5,1.8,0.6,1.8,round of 16,Round of 16 / second group,2,0,0,0,1
1934,WC-1934,Romania,UEFA,0,1,0,1,0,1,2,-1,0.0,1.0,2.0,1,2,1,4,2.5,0.75,3.25,round of 16,Round of 16 / second group,2,0,0,0,1
1934,WC-1934,Spain,UEFA,0,3,1,1,1,4,3,1,0.3333333333333333,1.3333333333333333,1.0,0,0,0,3,3.0,1.0,4.0,quarter-finals,Quarter-finals,3,0,0,0,1
1934,WC-1934,Sweden,UEFA,0,2,1,1,0,4,4,0,0.5,2.0,2.0,0,0,0,8,2.375,0.75,1.625,quarter-finals,Quarter-finals,3,0,0,0,1
1934,WC-1934,Switzerland,UEFA,0,2,1,1,0,5,5,0,0.5,2.5,2.5,0,0,0,7,0.7142857142857143,0.14285714285714285,-1.1428571428571428,quarter-finals,Quarter-finals,3,0,0,0,1
1934,WC-1934,United States,CONCACAF,0,1,0,1,0,1,7,-6,0.0,1.0,7.0,1,3,2,1,3.0,1.0,2.0,round of 16,Round of 16 / second group,2,0,0,0,1
1938,WC-1938,Belgium,UEFA,0,1,0,1,0,1,3,-2,0.0,1.0,3.0,2,3,0,9,1.0,0.2222222222222222,-1.0,round of 16,Round of 16 / second group,2,0,0,0,1
1938,WC-1938,Brazil,CONMEBOL,0,5,3,1,1,14,11,3,0.6,2.8,2.2,2,3,1,0,,,,third-place match,Semi-finals/top four,4,0,0,1,1
1938,WC-1938,Cuba,CONCACAF,0,3,1,1,1,5,12,-7,0.3333333333333333,1.6666666666666667,4.0,0,0,0,1,0.0,0.0,-4.0,quarter-finals,Quarter-finals,3,0,0,0,1
1938,WC-1938,Czechoslovakia,UEFA,0,3,1,1,1,5,3,2,0.3333333333333333,1.6666666666666667,1.0,1,4,3,11,1.5454545454545454,0.45454545454545453,-0.18181818181818182,quarter-finals,Quarter-finals,3,0,0,0,1
1938,WC-1938,France,UEFA,1,2,1,1,0,4,4,0,0.5,2.0,2.0,2,4,1,6,2.1666666666666665,0.6666666666666666,1.1666666666666667,quarter-finals,Quarter-finals,3,0,0,0,1
