tournament_id,year,team_name,matches,wins,losses,draws,goals_for,goals_against,goal_difference,knockout_matches,win_rate,goals_for_per_match,goals_against_per_match,team_id,team_code,region_name,confederation_code,is_host,position,performance,stage_score_from_label,stage_score,stage_reached,champion,finalist,semifinalist,reached_knockout,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,historical_best_stage_before
WC-1982,1982,Algeria,3,2,1,0,5,5,0,0,0.6666666666666666,1.6666666666666667,1.6666666666666667,T-01,DZA,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,12,2.0,0.5833333333333334,1.0,1.75,0.75,0,0,0,0
WC-1986,1986,Algeria,3,0,2,1,1,5,-4,0,0.0,0.3333333333333333,1.6666666666666667,T-01,DZA,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,17,1.3529411764705883,0.35294117647058826,0.29411764705882354,1.2941176470588236,1.0,1,3,2,1
WC-2010,2010,Algeria,3,0,2,1,0,2,-2,0,0.0,0.0,0.6666666666666666,T-01,DZA,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,15,1.6666666666666667,0.5333333333333333,-0.4,0.8666666666666667,1.2666666666666666,2,6,2,1
WC-2014,2014,Algeria,4,1,2,1,7,7,0,1,0.25,1.75,1.75,T-01,DZA,Africa,CAF,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,8,2.375,0.75,0.875,1.75,0.875,3,9,2,1
WC-2006,2006,Angola,3,0,1,2,1,2,-1,0,0.0,0.3333333333333333,0.6666666666666666,T-02,AGO,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,17,1.3529411764705883,0.35294117647058826,0.23529411764705882,1.411764705882353,1.1764705882352942,0,0,0,2
WC-1930,1930,Argentina,5,4,1,0,18,9,9,2,0.8,3.6,1.8,T-03,ARG,South America,CONMEBOL,0,2.0,final,5,5,Final,0,1,1,1,6,1.8333333333333333,0.5,1.1666666666666667,1.8333333333333333,0.6666666666666666,0,0,0,1
WC-1934,1934,Argentina,1,0,1,0,2,3,-1,1,0.0,2.0,3.0,T-03,ARG,South America,CONMEBOL,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,1,3.0,1.0,1.0,1.0,0.0,1,5,4,5
WC-1958,1958,Argentina,3,1,2,0,5,10,-5,0,0.3333333333333333,1.6666666666666667,3.3333333333333335,T-03,ARG,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,10,1.8,0.6,0.9,1.6,0.7,2,6,4,5
WC-1962,1962,Argentina,3,1,1,1,2,3,-1,0,0.3333333333333333,0.6666666666666666,1.0,T-03,ARG,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,9,1.3333333333333333,0.3333333333333333,0.1111111111111111,1.5555555555555556,1.4444444444444444,3,9,5,5
WC-1966,1966,Argentina,4,2,1,1,4,2,2,1,0.5,1.0,0.5,T-03,ARG,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,9,1.7777777777777777,0.4444444444444444,0.5555555555555556,1.4444444444444444,0.8888888888888888,4,12,6,5
WC-1974,1974,Argentina,6,1,3,2,9,12,-3,0,0.16666666666666666,1.5,2.0,T-03,ARG,South America,CONMEBOL,0,,second group stage,2,2,Round of 16 / second group,0,0,0,1,11,2.090909090909091,0.6363636363636364,0.6363636363636364,2.1818181818181817,1.5454545454545454,5,16,8,5
WC-1978,1978,Argentina,7,5,1,1,15,4,11,1,0.7142857142857143,2.142857142857143,0.5714285714285714,T-03,ARG,South America,CONMEBOL,1,1.0,final,5,6,Champion,1,1,1,1,14,1.9285714285714286,0.5714285714285714,0.5714285714285714,1.5,0.9285714285714286,6,22,9,5
WC-1982,1982,Argentina,5,2,3,0,8,7,1,0,0.4,1.6,1.4,T-03,ARG,South America,CONMEBOL,0,,second group stage,2,2,Round of 16 / second group,0,0,0,1,7,1.4285714285714286,0.2857142857142857,0.14285714285714285,1.0,0.8571428571428571,7,29,14,6
WC-1986,1986,Argentina,7,6,0,1,14,5,9,4,0.8571428571428571,2.0,0.7142857142857143,T-03,ARG,South America,CONMEBOL,0,1.0,final,5,6,Champion,1,1,1,1,9,1.3333333333333333,0.3333333333333333,0.2222222222222222,1.2222222222222223,1.0,8,34,16,6
WC-1990,1990,Argentina,7,4,2,1,5,4,1,4,0.5714285714285714,0.7142857142857143,0.5714285714285714,T-03,ARG,South America,CONMEBOL,0,2.0,final,5,5,Final,0,1,1,1,13,1.1538461538461537,0.23076923076923078,-0.3076923076923077,0.46153846153846156,0.7692307692307693,9,41,22,6
WC-1994,1994,Argentina,4,2,2,0,8,6,2,1,0.5,2.0,1.5,T-03,ARG,South America,CONMEBOL,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,21,1.6666666666666667,0.42857142857142855,0.19047619047619047,1.2380952380952381,1.0476190476190477,10,48,26,6
WC-1998,1998,Argentina,5,4,1,0,10,4,6,2,0.8,2.0,0.8,T-03,ARG,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,17,2.176470588235294,0.6470588235294118,1.1176470588235294,1.6470588235294117,0.5294117647058824,11,52,28,6
WC-2002,2002,Argentina,3,1,1,1,2,2,0,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,T-03,ARG,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,9,2.111111111111111,0.5555555555555556,1.0,1.7777777777777777,0.7777777777777778,12,57,32,6
WC-2006,2006,Argentina,5,3,1,1,11,3,8,2,0.6,2.2,0.6,T-03,ARG,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,13,1.5384615384615385,0.46153846153846156,0.3076923076923077,1.7692307692307692,1.4615384615384615,13,60,33,6
WC-2010,2010,Argentina,5,4,1,0,10,6,4,2,0.8,2.0,1.2,T-03,ARG,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,13,2.076923076923077,0.6923076923076923,0.8461538461538461,2.076923076923077,1.2307692307692308,14,65,36,6
WC-2014,2014,Argentina,7,6,1,0,8,4,4,4,0.8571428571428571,1.1428571428571428,0.5714285714285714,T-03,ARG,South America,CONMEBOL,0,2.0,final,5,5,Final,0,1,1,1,10,2.3,0.7,1.6,2.3,0.7,15,70,40,6
