year,group_name,team_name,confederation_code,prior_world_cups,prior_matches,prior_wins,prior_titles,prior_finals,prior_semifinals,best_stage_score,avg_goal_difference,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match
2026,A,Mexico,CONCACAF,17,60,17,0,0,0,3,-2.2941176470588234,17,1.8235294117647058,0.47058823529411764,0.47058823529411764,1.2352941176470589,0.7647058823529411
2026,A,South Africa,CAF,3,9,2,0,0,0,1,-1.6666666666666667,11,1.6363636363636365,0.45454545454545453,0.6363636363636364,1.6363636363636365,1.0
2026,A,South Korea,AFC,11,38,8,0,0,1,4,-3.5454545454545454,8,1.625,0.5,-0.375,1.125,1.5
2026,A,Czech Republic,UEFA,1,3,1,0,0,0,1,-1.0,8,1.625,0.375,1.0,1.875,0.875
2026,B,Canada,CONCACAF,2,6,0,0,0,0,1,-5.0,12,1.75,0.4166666666666667,1.0833333333333333,1.5,0.4166666666666667
2026,B,Bosnia & Herzegovina,UEFA,1,3,1,0,0,0,1,0.0,8,1.625,0.375,1.25,2.375,1.125
2026,B,Qatar,AFC,1,3,0,0,0,0,1,-6.0,9,0.7777777777777778,0.1111111111111111,-0.7777777777777778,1.0,1.7777777777777777
2026,B,Switzerland,UEFA,12,41,14,0,0,0,3,-1.5,8,1.875,0.5,1.375,2.125,0.75
2026,C,Brazil,CONMEBOL,22,114,79,5,7,11,6,5.863636363636363,8,1.625,0.5,1.125,2.125,1.0
2026,C,Morocco,CAF,6,23,6,0,0,1,4,-1.1666666666666667,21,2.619047619047619,0.8095238095238095,1.619047619047619,1.9047619047619047,0.2857142857142857
2026,C,Haiti,CONCACAF,1,3,0,0,0,0,1,-12.0,11,1.1818181818181819,0.2727272727272727,0.0,1.0909090909090908,1.0909090909090908
2026,C,Scotland,UEFA,8,23,4,0,0,0,1,-2.0,8,1.625,0.5,0.5,1.625,1.125
2026,D,United States,CONCACAF,11,37,9,0,0,1,4,-2.3636363636363638,14,1.8571428571428572,0.5714285714285714,0.5714285714285714,1.9285714285714286,1.3571428571428572
2026,D,Paraguay,CONMEBOL,8,27,8,0,0,0,3,-1.0,8,1.375,0.375,-0.125,1.0,1.125
2026,D,Australia,AFC,6,20,4,0,0,0,2,-3.3333333333333335,8,1.875,0.625,0.5,1.5,1.0
2026,D,Turkey,UEFA,2,10,5,0,0,1,4,1.5,8,2.375,0.75,0.875,2.375,1.5
2026,E,Germany,UEFA,10,50,33,1,2,5,6,4.8,8,2.625,0.875,1.875,2.75,0.875
2026,E,Curaçao,,0,0,0,0,0,0,0,,11,1.2727272727272727,0.2727272727272727,0.2727272727272727,1.4545454545454546,1.1818181818181819
2026,E,Ivory Coast,CAF,3,9,3,0,0,0,1,-0.3333333333333333,13,2.230769230769231,0.6923076923076923,1.6153846153846154,2.1538461538461537,0.5384615384615384
2026,E,Ecuador,CONMEBOL,4,13,5,0,0,0,2,0.0,8,1.5,0.25,0.375,0.875,0.5
2026,F,Netherlands,UEFA,11,55,31,0,3,5,5,4.0,8,2.25,0.625,1.75,2.5,0.75
2026,F,Japan,AFC,7,25,7,0,0,0,2,-1.1428571428571428,8,2.125,0.625,0.75,1.5,0.75
2026,F,Sweden,UEFA,12,51,20,0,1,4,5,0.5833333333333334,8,1.0,0.25,-0.625,1.25,1.875
2026,F,Tunisia,CAF,6,18,3,0,0,0,1,-2.0,16,1.875,0.5,1.125,1.9375,0.8125
2026,G,Belgium,UEFA,14,51,22,0,0,2,4,-0.35714285714285715,8,2.25,0.625,3.0,3.75,0.75
2026,G,Egypt,CAF,3,7,0,0,0,0,2,-2.3333333333333335,18,1.7222222222222223,0.4444444444444444,0.5,1.2222222222222223,0.7222222222222222
2026,G,Iran,AFC,6,18,3,0,0,0,1,-3.0,6,1.3333333333333333,0.3333333333333333,0.8333333333333334,1.5,0.6666666666666666
